trip_id,stop_id,stop_sequence,arrival_time,departure_time
T308_IDA,S108,10,06:36:00,06:36:00
T308_IDA,S109,11,06:40:00,06:40:00
T308_IDA,S110,12,06:44:00,06:44:00
T308_IDA,S089,13,06:48:00,06:48:00
T308_IDA,S074,14,07:00:00,07:00:00
T308_VOLTA,S074,1,07:12:00,07:12:00
T308_VOLTA,S089,2,07:24:00,07:24:00
T308_VOLTA,S110,3,07:28:00,07:28:00
T308_VOLTA,S109,4,07:32:00,07:32:00
T308_VOLTA,S108,5,07:36:00,07:36:00
T308_VOLTA,S107,6,07:40:00,07:40:00
T308_VOLTA,S106,7,07:44:00,07:44:00
T308_VOLTA,S105,8,07:48:00,07:48:00
T308_VOLTA,S104,9,07:52:00,07:52:00
T308_VOLTA,S103,10,07:56:00,07:56:00
T308_VOLTA,S102,11,08:00:00,08:00:00
T308_VOLTA,S101,12,08:04:00,08:04:00
T308_VOLTA,S057,13,08:08:00,08:08:00
T308_VOLTA,S056,14,08:12:00,08:12:00

T309_IDA,S058,1,06:00:00,06:00:00
T309_IDA,S059,2,06:04:00,06:04:00
T309_IDA,S111,3,06:08:00,06:08:00
T309_IDA,S112,4,06:12:00,06:12:00
T309_IDA,S113,5,06:16:00,06:16:00
T309_IDA,S114,6,06:20:00,06:20:00
T309_IDA,S115,7,06:24:00,06:24:00
T309_IDA,S116,8,06:28:00,06:28:00
T309_IDA,S117,9,06:32:00,06:32:00
T309_IDA,S118,10,06:36:00,06:36:00
T309_IDA,S119,11,06:40:00,06:40:00
T309_IDA,S120,12,06:44:00,06:44:00
T309_IDA,S105,13,06:56:00,06:56:00
T309_VOLTA,S105,1,07:10:00,07:10:00
T309_VOLTA,S120,2,07:22:00,07:22:00
T309_VOLTA,S119,3,07:26:00,07:26:00
T309_VOLTA,S118,4,07:30:00,07:30:00
T309_VOLTA,S117,5,07:34:00,07:34:00
T309_VOLTA,S116,6,07:38:00,07:38:00
T309_VOLTA,S115,7,07:42:00,07:42:00
T309_VOLTA,S114,8,07:46:00,07:46:00
T309_VOLTA,S113,9,07:50:00,07:50:00
T309_VOLTA,S112,10,07:54:00,07:54:00
T309_VOLTA,S111,11,07:58:00,07:58:00
T309_VOLTA,S059,12,08:02:00,08:02:00
T309_VOLTA,S058,13,08:06:00,08:06:00

T310_IDA,S060,1,06:00:00,06:00:00
T310_IDA,S061,2,06:04:00,06:04:00
T310_IDA,S072,3,06:08:00,06:08:00
T310_IDA,S073,4,06:12:00,06:12:00
T310_IDA,S121,5,06:16:00,06:16:00
T310_IDA,S122,6,06:20:00,06:20:00
T310_IDA,S123,7,06:24:00,06:24:00
T310_IDA,S124,8,06:28:00,06:28:00
T310_IDA,S125,9,06:32:00,06:32:00
T310_IDA,S126,10,06:36:00,06:36:00
T310_IDA,S127,11,06:40:00,06:40:00
T310_IDA,S128,12,06:44:00,06:44:00
T310_IDA,S129,13,06:48:00,06:48:00
T310_IDA,S130,14,06:52:00,06:52:00
T310_IDA,S070,15,07:04:00,07:04:00
T310_VOLTA,S070,1,07:18:00,07:18:00
T310_VOLTA,S130,2,07:30:00,07:30:00
T310_VOLTA,S129,3,07:34:00,07:34:00
T310_VOLTA,S128,4,07:38:00,07:38:00
T310_VOLTA,S127,5,07:42:00,07:42:00
T310_VOLTA,S126,6,07:46:00,07:46:00
T310_VOLTA,S125,7,07:50:00,07:50:00
T310_VOLTA,S124,8,07:54:00,07:54:00
T310_VOLTA,S123,9,07:58:00,07:58:00
T310_VOLTA,S122,10,08:02:00,08:02:00
T310_VOLTA,S121,11,08:06:00,08:06:00
T310_VOLTA,S073,12,08:10:00,08:10:00
T310_VOLTA,S072,13,08:14:00,08:14:00
T310_VOLTA,S061,14,08:18:00,08:18:00
T310_VOLTA,S060,15,08:22:00,08:22:00

T311_IDA,S071,1,06:00:00,06:00:00
T311_IDA,S070,2,06:04:00,06:04:00
T311_IDA,S131,3,06:08:00,06:08:00
T311_IDA,S132,4,06:12:00,06:12:00
T311_IDA,S133,5,06:16:00,06:16:00
T311_IDA,S134,6,06:20:00,06:20:00
T311_IDA,S135,7,06:24:00,06:24:00
T311_IDA,S136,8,06:28:00,06:28:00
T311_IDA,S137,9,06:32:00,06:32:00
T311_IDA,S138,10,06:36:00,06:36:00
T311_IDA,S139,11,06:40:00,06:40:00
T311_IDA,S140,12,06:44:00,06:44:00
T311_IDA,S062,13,06:56:00,06:56:00
T311_VOLTA,S062,1,07:10:00,07:10:00
T311_VOLTA,S140,2,07:22:00,07:22:00
T311_VOLTA,S139,3,07:26:00,07:26:00
T311_VOLTA,S138,4,07:30:00,07:30:00
T311_VOLTA,S137,5,07:34:00,07:34:00
T311_VOLTA,S136,6,07:38:00,07:38:00
T311_VOLTA,S135,7,07:42:00,07:42:00
T311_VOLTA,S134,8,07:46:00,07:46:00
T311_VOLTA,S133,9,07:50:00,07:50:00
T311_VOLTA,S132,10,07:54:00,07:54:00
T311_VOLTA,S131,11,07:58:00,07:58:00
T311_VOLTA,S070,12,08:02:00,08:02:00
T311_VOLTA,S071,13,08:06:00,08:06:00

T312_IDA,S141,1,06:00:00,06:00:00
T312_IDA,S142,2,06:03:00,06:03:00
T312_IDA,S143,3,06:06:00,06:06:00
T312_IDA,S144,4,06:09:00,06:09:00
T312_IDA,S145,5,06:12:00,06:12:00
T312_IDA,S146,6,06:15:00,06:15:00
T312_IDA,S147,7,06:18:00,06:18:00
T312_IDA,S148,8,06:21:00,06:21:00
T312_IDA,S149,9,06:24:00,06:24:00
T312_IDA,S150,10,06:27:00,06:27:00
T312_IDA,S074,11,06:31:00,06:31:00
T312_IDA,S075,12,06:35:00,06:35:00
T312_IDA,S076,13,06:39:00,06:39:00
T312_IDA,S062,14,06:51:00,06:51:00
T312_IDA,S063,15,06:55:00,06:55:00
T312_IDA,S064,16,06:59:00,06:59:00
T312_IDA,S065,17,07:03:00,07:03:00
T312_IDA,S066,18,07:06:00,07:06:00
T312_VOLTA,S066,1,07:20:00,07:20:00
T312_VOLTA,S065,2,07:23:00,07:23:00
T312_VOLTA,S064,3,07:27:00,07:27:00
T312_VOLTA,S063,4,07:31:00,07:31:00
T312_VOLTA,S062,5,07:35:00,07:35:00
T312_VOLTA,S076,6,07:47:00,07:47:00
T312_VOLTA,S075,7,07:51:00,07:51:00
T312_VOLTA,S074,8,07:55:00,07:55:00
T312_VOLTA,S150,9,07:59:00,07:59:00
T312_VOLTA,S149,10,08:02:00,08:02:00
T312_VOLTA,S148,11,08:05:00,08:05:00
T312_VOLTA,S147,12,08:08:00,08:08:00
T312_VOLTA,S146,13,08:11:00,08:11:00
T312_VOLTA,S145,14,08:14:00,08:14:00
T312_VOLTA,S144,15,08:17:00,08:17:00
T312_VOLTA,S143,16,08:20:00,08:20:00
T312_VOLTA,S142,17,08:23:00,08:23:00
T312_VOLTA,S141,18,08:26:00,08:26:00

T313_IDA,S030,1,06:00:00,06:02:00
T313_IDA,S034,2,06:08:00,06:09:00
T313_IDA,S036,3,06:13:00,06:14:00
T313_IDA,S074,4,06:28:00,06:29:00
T313_IDA,S089,5,06:38:00,06:39:00
T313_IDA,S105,6,06:50:00,06:51:00
T313_IDA,S059,7,07:00:00,07:01:00
T313_IDA,S058,8,07:04:00,07:05:00
T313_VOLTA,S058,1,17:30:00,17:31:00
T313_VOLTA,S059,2,17:34:00,17:35:00
T313_VOLTA,S105,3,17:44:00,17:45:00
T313_VOLTA,S089,4,17:55:00,17:56:00
T313_VOLTA,S074,5,18:05:00,18:06:00
T313_VOLTA,S036,6,18:20:00,18:21:00
T313_VOLTA,S034,7,18:25:00,18:26:00
T313_VOLTA,S030,8,18:33:00,18:34:00

T314_IDA,S030,1,06:05:00,06:07:00
T314_IDA,S037,2,06:15:00,06:16:00
T314_IDA,S088,3,06:28:00,06:29:00
T314_IDA,S076,4,06:40:00,06:41:00
T314_IDA,S072,5,07:00:00,07:01:00
T314_IDA,S070,6,07:18:00,07:19:00
T314_IDA,S071,7,07:25:00,07:26:00
T314_VOLTA,S071,1,17:00:00,17:01:00
T314_VOLTA,S070,2,17:07:00,17:08:00
T314_VOLTA,S072,3,17:25:00,17:26:00
T314_VOLTA,S076,4,17:45:00,17:46:00
T314_VOLTA,S088,5,17:57:00,17:58:00
T314_VOLTA,S037,6,18:10:00,18:11:00
T314_VOLTA,S030,7,18:20:00,18:21:00
